id,name,description,brand,color,barcode,origin,material,size,price
219,nec nisi,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",brand_5,Blue,52959-471,United States,Steel,M,16.19
220,posuere nonummy integer non velit,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,brand_6,Violet,53808-0904,Russia,,,28.18
221,curabitur at,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",brand_3,Purple,37012-069,Pakistan,,,16.21
222,volutpat in congue,,brand_10,,53808-0357,China,,,20.21
223,nibh in lectus,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",brand_4,,55154-2080,Portugal,,,13.58
224,pede justo eu massa donec,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",brand_9,Purple,26637-321,Democratic Republic of the Congo,Glass,3XL,25.55
225,dui vel nisl duis ac,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",brand_10,Yellow,65862-456,Libya,Plastic,L,6.36
226,facilisi cras non velit nec nisi,Donec ut dolor.,brand_5,,64679-937,Indonesia,Aluminum,,22.71
227,et ultrices,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",brand_6,Green,49967-710,China,,,9.51
228,pharetra magna vestibulum aliquet,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",brand_3,Fuscia,51655-127,Syria,Wood,,5.08
229,semper sapien a libero,,brand_7,Violet,55714-1502,China,,2XL,22.77
230,pede justo lacinia,Praesent lectus.,brand_6,Turquoise,62756-797,,,XL,22.24
231,orci luctus,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",brand_8,Aquamarine,55111-439,United States,,,26.6
232,turpis sed ante,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",,Crimson,54776-001,China,Vinyl,M,27.27
233,maecenas ut massa,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,brand_9,Aquamarine,41167-6061,Colombia,Granite,S,7.13
234,duis at velit eu est congue,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,brand_2,Maroon,55316-255,China,,3XL,20.86
235,vulputate vitae,,brand_1,,60760-116,Indonesia,,2XL,27.47
236,curae donec pharetra magna vestibulum aliquet,Donec posuere metus vitae ipsum. Aliquam non mauris.,brand_2,Indigo,58980-777,Russia,Rubber,,12.0
237,sapien ut nunc vestibulum,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,brand_10,Puce,55714-4555,Ukraine,Granite,XL,28.22
238,aliquam erat volutpat,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",brand_1,,51531-0850,Poland,,,16.37
239,aliquam non mauris,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",brand_3,Green,43857-0116,Brazil,,M,29.2
240,etiam justo etiam pretium iaculis justo,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",brand_3,Blue,57896-489,China,,XS,21.02
241,in tempor turpis,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,brand_7,,0164-2207,China,Stone,L,10.42
242,nibh quisque id justo sit,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",brand_10,,64725-0281,Saudi Arabia,,,14.18
243,proin at,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",brand_2,,0517-2930,Paraguay,,,18.37
244,in faucibus,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",brand_6,Purple,55910-913,China,,,15.19
245,consectetuer eget rutrum at lorem integer,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",brand_2,,49288-0386,United States,,,20.3
246,eu mi,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",brand_10,Yellow,35356-724,Greece,,XL,10.82
247,consequat in consequat,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",brand_7,,16590-112,Brazil,,M,
248,dolor sit amet consectetuer adipiscing,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",brand_1,Blue,41250-620,China,,XL,10.3
249,eu pede,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",brand_3,,49781-026,Nigeria,Glass,,27.09
250,est risus,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,brand_7,Orange,59535-1101,Switzerland,,XL,7.31
251,sapien sapien non mi integer ac,,brand_3,Turquoise,35356-734,,,,22.53
252,sapien iaculis congue vivamus metus arcu,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",brand_2,Purple,0069-3051,China,,,
253,donec semper sapien a libero nam,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",brand_2,Khaki,55316-176,El Salvador,,,
254,in felis donec semper sapien,,brand_9,Khaki,60505-0222,China,,,
255,massa tempor convallis,,brand_1,,54458-922,China,,2XL,11.13
256,sit amet eleifend,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",brand_5,Red,21695-201,Dominica,,,26.75
257,enim leo rhoncus sed vestibulum,,brand_3,Violet,55150-125,Ukraine,,L,15.55
258,morbi odio odio elementum eu interdum,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",brand_10,Fuscia,51206-402,Guatemala,,,10.15
259,dolor sit amet consectetuer adipiscing elit,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,brand_10,,53519-618,Kosovo,,,24.1
260,ipsum aliquam,,brand_8,Green,61380-278,Guam,,,22.08
261,vehicula consequat morbi,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",brand_10,,54949-001,China,,,19.21
262,vel est donec odio justo sollicitudin,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",brand_8,Aquamarine,36800-515,Indonesia,,,5.64
263,tempus vivamus in felis eu,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",brand_8,Goldenrod,63629-3449,,Aluminum,XL,11.52
264,varius integer ac leo pellentesque ultrices,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",brand_7,Khaki,50157-200,China,Brass,M,11.39
265,semper porta,,brand_4,Crimson,65841-050,Finland,,,8.92
266,porta volutpat quam pede lobortis ligula,,brand_5,Crimson,41250-703,Colombia,,,19.29
267,ultrices posuere,,brand_2,,63691-005,France,,,7.39
268,justo aliquam,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",brand_5,,47219-252,Philippines,,,6.2
269,pede justo lacinia eget,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",brand_5,Maroon,64141-018,China,,XL,21.73
270,eleifend luctus ultricies eu,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,brand_8,,65862-249,Jamaica,,,19.32
271,,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",brand_4,,67046-535,Philippines,Rubber,,8.72
272,ipsum primis in,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",brand_10,Aquamarine,42352-7001,Lithuania,,XL,13.88
273,pretium iaculis justo in hac habitasse,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",brand_4,Teal,64117-193,Italy,,S,18.43
274,nisl ut volutpat sapien arcu sed,Nullam sit amet turpis elementum ligula vehicula consequat.,brand_10,Blue,62802-035,Philippines,,,14.0
275,pretium iaculis diam,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,brand_7,Goldenrod,55154-2030,Thailand,Aluminum,,15.07
276,luctus et ultrices,,brand_5,,0054-3270,United States,Aluminum,S,14.63
277,orci luctus,,brand_2,,52959-707,Indonesia,,2XL,13.63
278,cras mi pede malesuada in,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",brand_1,Mauv,47649-9001,,,XL,12.09
279,vestibulum ante ipsum,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,brand_4,Purple,51801-012,Norway,,XL,25.16
280,aliquet maecenas leo odio,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",,,52000-004,Russia,,L,9.21
281,convallis eget,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",brand_4,Puce,0039-0221,Mayotte,Plastic,,10.33
282,elementum pellentesque quisque porta volutpat erat,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",brand_10,,55045-1194,Sweden,Plexiglass,M,6.22
283,magnis dis parturient montes,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",brand_5,Turquoise,48951-7051,Netherlands,,,28.65
284,vulputate elementum nullam,,brand_6,,58575-130,Colombia,Brass,,29.36
285,molestie nibh,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,,Fuscia,68828-119,,,XS,20.74
286,etiam pretium iaculis justo in hac,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,brand_1,,68788-2212,Peru,Plastic,,11.68
287,sapien iaculis congue vivamus metus,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",brand_3,,65044-1213,Russia,Vinyl,,5.96
288,iaculis justo in hac,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",brand_4,Aquamarine,55741-304,Argentina,,,18.6
289,elit sodales scelerisque mauris sit amet,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",brand_2,Fuscia,54569-1188,Czech Republic,,XL,11.03
290,sit amet,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,brand_7,,49288-0251,Thailand,,,8.49
291,in faucibus,Proin risus.,brand_6,,68786-228,China,,,
292,amet turpis,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,brand_3,Turquoise,65113-2372,China,,,
293,dis parturient montes nascetur,Duis aliquam convallis nunc.,brand_10,Orange,49281-790,Russia,,,16.45
294,varius ut blandit,,brand_3,,10544-002,Brazil,Brass,XL,24.24
295,bibendum felis sed interdum,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",brand_8,Khaki,0456-3202,China,Plexiglass,,27.52
296,convallis duis,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",brand_8,Red,43857-0325,Somalia,,XS,20.25
297,sem praesent id massa id,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,brand_6,Puce,58892-126,France,Plexiglass,,11.15
298,elementum ligula vehicula consequat,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",brand_3,,59762-3743,Indonesia,,L,19.27
299,lacinia erat vestibulum sed magna at,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",brand_9,Khaki,40076-991,Canada,,M,15.8
300,orci luctus et ultrices,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",brand_10,,0781-5439,France,Wood,,20.38
301,lectus vestibulum,,brand_1,,49288-0255,Japan,Wood,,21.5
302,lorem vitae,Duis ac nibh.,brand_6,Yellow,65601-778,Nigeria,Granite,XS,12.09
303,ligula in lacus,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",brand_4,Fuscia,68084-120,Mexico,,,25.95
304,fusce congue diam id ornare,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,brand_4,Green,0135-0089,China,,XS,7.85
305,consequat metus sapien ut nunc vestibulum,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",brand_10,,42291-317,United Kingdom,Plastic,L,23.04
306,elit proin,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",brand_3,,0179-0107,Albania,,,27.26
307,eget eros elementum pellentesque,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,brand_3,Aquamarine,0085-1385,Nicaragua,,2XL,12.42
308,vulputate ut ultrices vel augue,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",brand_8,Aquamarine,33342-090,Japan,,3XL,9.24
309,diam cras,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",brand_5,Indigo,59002-112,Japan,,,19.27
310,pharetra magna vestibulum aliquet,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",brand_5,,63717-877,China,,,20.32
311,ut ultrices,,brand_5,Aquamarine,65862-078,Indonesia,,S,
312,quam sollicitudin,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",brand_5,Fuscia,0268-6676,China,,,21.36
313,ligula sit,Praesent blandit.,brand_1,,68472-054,Yemen,Brass,2XL,8.19
314,curae donec pharetra magna vestibulum,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",brand_9,,69082-500,,,,
315,libero non,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",brand_7,,59667-0020,United States,,2XL,8.43
316,sagittis nam congue risus semper,"Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",brand_1,Purple,59746-247,France,,,18.63
317,sapien dignissim,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.",brand_8,Turquoise,53942-406,Indonesia,Wood,,20.05
318,nunc vestibulum ante ipsum primis in,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,brand_4,Turquoise,68084-029,Yemen,Granite,,15.97
319,vestibulum ac est lacinia nisi venenatis,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,brand_2,Goldenrod,49288-0285,China,,S,5.41
320,id turpis integer,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",brand_8,,68327-005,Sweden,,XL,16.7
321,faucibus orci luctus et,Nam dui.,brand_6,Maroon,63629-4436,Russia,,,15.29
322,sit amet justo,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,brand_6,Fuscia,62802-107,France,,,7.41
323,enim lorem ipsum dolor sit,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",brand_10,Red,10019-955,Botswana,,,13.2
324,nibh ligula nec sem duis aliquam,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",brand_10,,26509-0007,Poland,,,25.31
325,blandit ultrices enim lorem ipsum,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",brand_3,Indigo,41520-272,Cuba,,,23.35
326,,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",brand_6,Yellow,24208-720,Bulgaria,,S,16.95
